+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+---------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |           |           |           |           |         |         |     |
| 37 |       |                             avpsus.exe                             | 5068  |     NT AUTHORITY\SYSTEM      |     0 %     |     70.06 %      |      29.94 %       |  2.61 MB  |  7.9 MB   |  8.17 MB  |  0.08 MB  |   745   |   41    | 11  |
| 38 |       |                              avp.exe                               | 3268  |     NT AUTHORITY\SYSTEM      |   0.08 %    |     63.81 %      |      36.19 %       | 44.67 MB  | 118.74 MB | 407.01 MB | 116.1 MB  |  20836  |  56153  | 118 |
| 39 |       |                            WmiPrvSE.exe                            | 10840 |  NT AUTHORITY\LOCAL SERVICE  |   0.21 %    |     23.89 %      |      76.11 %       | 18.64 MB  | 10.78 MB  |  0.84 MB  |   0 MB    |    2    |    0    |  9  |
| 40 |       | WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe | 11308 |      ZCS-SERVER\zybisys      |     0 %     |      39.7 %      |       60.3 %       | 46.35 MB  | 17.34 MB  |   0 MB    |   0 MB    |    2    |    0    | 18  |
| 41 |       |                         VGAuthService.exe                          | 3260  |     NT AUTHORITY\SYSTEM      |     0 %     |      100 %       |        0 %         | 10.72 MB  |  3.29 MB  |  0.03 MB  |   0 MB    |   25    |   20    |  2  |
| 42 |       |                               System                               |   4   |     NT AUTHORITY\SYSTEM      |   0.54 %    |       0 %        |       100 %        |  0.16 MB  |  0.2 MB   |  3.26 MB  | 94.99 MB  |   181   |  1840   | 219 |
| 43 |       |                      ShellExperienceHost.exe                       | 13600 |      ZCS-SERVER\zybisys      |     0 %     |     59.32 %      |      40.68 %       |   47 MB   | 20.67 MB  |  0.04 MB  |   0 MB    |   11    |    0    | 16  |
| 44 |       |                         ServerManager.exe                          | 1328  |       ZCS-SERVER\test        |   0.01 %    |     79.28 %      |      20.72 %       | 171.24 MB | 140.29 MB |  1.04 MB  |  0.07 MB  |   345   |   23    | 17  |
| 45 |       |                            SearchUI.exe                            | 9556  |      ZCS-SERVER\zybisys      |     0 %     |       75 %       |        25 %        | 86.15 MB  | 94.13 MB  |  8.01 MB  |  5.4 MB   |  1749   |   801   | 37  |
| 46 |       |                         RuntimeBroker.exe                          | 14324 |      ZCS-SERVER\zybisys      |     0 %     |     66.67 %      |      33.33 %       |  7.01 MB  |  1.37 MB  |   0 MB    |   0 MB    |    0    |    0    |  1  |
| 47 |       |                              Registry                              |  104  |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        | 109.89 MB |  0.5 MB   |   0 MB    | 280.21 MB |    4    |  22626  |  4  |
| 48 |       |                            LogonUI.exe                             | 10916 |     NT AUTHORITY\SYSTEM      |     0 %     |     55.17 %      |      44.83 %       | 54.07 MB  | 11.86 MB  |  0.35 MB  |   0 MB    |    2    |    0    |  6  |
| 49 |       |                            InetMgr.exe                             | 11380 |      ZCS-SERVER\zybisys      |     0 %     |     59.09 %      |      40.91 %       | 39.76 MB  |  26.3 MB  |  0.13 MB  |   0 MB    |   38    |    0    |  4  |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+---------+---------+-----+
