+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |          |           |           |           |          |         |     |
| 37 |       |                         check_mk_agent.exe                         | 3120  |     NT AUTHORITY\SYSTEM      |   1.29 %    |     57.72 %      |      42.28 %       | 27.72 MB | 41.19 MB  | 69.59 MB  | 135.36 MB |  519683  | 3378032 |  5  |
| 38 |       |                             avpui.exe                              | 72116 |      ZCS-SERVER\obulesu      |     0 %     |     86.74 %      |      13.26 %       | 4.83 MB  | 10.06 MB  |  0.89 MB  |   0 MB    |    18    |    0    | 10  |
| 39 |       |                             avpsus.exe                             | 5000  |     NT AUTHORITY\SYSTEM      |     0 %     |     63.57 %      |      36.43 %       | 2.21 MB  |  9.4 MB   | 115.94 MB |  1.19 MB  |  10451   |   581   | 11  |
| 40 |       |                              avp.exe                               | 14680 |     NT AUTHORITY\SYSTEM      |   0.14 %    |     67.88 %      |      32.12 %       | 55.17 MB | 121.56 MB |  4.87 GB  |  1.06 GB  |  359734  | 508588  | 118 |
| 41 |       |                            WmiPrvSE.exe                            | 70936 |  NT AUTHORITY\LOCAL SERVICE  |   0.16 %    |     20.28 %      |      79.72 %       | 18.81 MB | 10.67 MB  |  2.42 MB  |   0 MB    |    6     |    0    |  7  |
| 42 |       |                           Wireshark.exe                            | 64044 |      ZCS-SERVER\zybisys      |   0.06 %    |     20.93 %      |      79.07 %       | 40.67 MB | 157.51 MB |  1.4 MB   |  0.1 MB   |   584    |   22    | 18  |
| 43 |       | WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe | 11368 |      ZCS-SERVER\zybisys      |     0 %     |      58.8 %      |       41.2 %       | 16.3 MB  | 15.09 MB  |   0 MB    |   0 MB    |    2     |    0    | 18  |
| 44 |       |                         VGAuthService.exe                          | 3196  |     NT AUTHORITY\SYSTEM      |     0 %     |     33.33 %      |      66.67 %       |  1.3 MB  |  3.33 MB  |  0.03 MB  |   0 MB    |    25    |   22    |  2  |
| 45 |       |                        TrustedInstaller.exe                        | 44980 |     NT AUTHORITY\SYSTEM      |   0.01 %    |     68.17 %      |      31.83 %       |  5.8 MB  |  3.12 MB  |   0 MB    |  0.04 MB  |    0     |   226   |  5  |
| 46 |       |                            TiWorker.exe                            | 57824 |     NT AUTHORITY\SYSTEM      |   4.88 %    |     93.22 %      |       6.78 %       | 69.33 MB | 190.1 MB  | 23.85 GB  | 472.27 MB |  323142  | 2870815 |  2  |
| 47 |       |                               System                               |   4   |     NT AUTHORITY\SYSTEM      |   2.92 %    |       0 %        |       100 %        |  0.1 MB  |  0.2 MB   | 360.99 MB |  6.92 GB  |  10714   | 263672  | 214 |
| 48 |       |                      ShellExperienceHost.exe                       | 70808 |      ZCS-SERVER\obulesu      |     0 %     |      62.5 %      |       37.5 %       | 41.51 MB | 27.63 MB  |  0.02 MB  |  0.02 MB  |    9     |   249   | 22  |
| 49 |       |                         ServerManager.exe                          | 60796 |      ZCS-SERVER\obulesu      |     0 %     |     71.59 %      |      28.41 %       | 36.38 MB |  91.1 MB  |  0.82 MB  |  0.01 MB  |   256    |   51    |  7  |
| 50 |       |                            SearchUI.exe                            | 68224 |       ZCS-SERVER\test        |     0 %     |     64.38 %      |      35.62 %       | 4.33 MB  | 19.12 MB  | 34.82 MB  | 11.91 MB  |   9005   |  2378   | 11  |
| 51 |       |                         RuntimeBroker.exe                          | 70948 |      ZCS-SERVER\obulesu      |     0 %     |     67.48 %      |      32.52 %       | 2.32 MB  |  4.47 MB  |   0 MB    |   0 MB    |    1     |    0    |  3  |
| 52 |       |                              Registry                              |  104  |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        | 159.7 MB |  0.68 MB  |   0 MB    |  1.89 GB  |    4     | 249987  |  4  |
| 53 |       |                         MusNotifyIcon.exe                          | 10736 |      ZCS-SERVER\zybisys      |     0 %     |       0 %        |       100 %        |  4.5 MB  |  2.01 MB  |   0 MB    |   0 MB    |    0     |    0    |  2  |
| 54 |       |                            LogonUI.exe                             | 63844 |     NT AUTHORITY\SYSTEM      |     0 %     |      80.3 %      |       19.7 %       | 3.17 MB  |  7.29 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+----------+-----------+-----------+-----------+----------+---------+-----+
